student_id,student_name,average_exam_2,exam_event
101,Arthur Russell,81.17,Exam 2
102,Bryan Vogel,66.50,Exam 2
103,Casey Stewart,80.17,Exam 2
104,Dustin Hagan,74.83,Exam 2
105,Ernest Casey,79.17,Exam 2
106,Frank Sanders,75.67,Exam 2
107,George Smith,63.50,Exam 2
108,Hubert Rogers,71.83,Exam 2
109,Ida Burgess,67.67,Exam 2
110,Judy Stuart,86.33,Exam 2
111,Kylie Dustin,82.00,Exam 2
112,Lois Booker,78.33,Exam 2
113,Marcus Crawford,73.33,Exam 2
114,Norman Hooper,69.33,Exam 2
115,Owen Conner,69.67,Exam 2
116,Pattrick Simon,79.83,Exam 2
117,Ricky McCann,86.50,Exam 2
118,Sidney Rosales,87.50,Exam 2
119,Thomas Andrew,87.67,Exam 2
120,Vicky Blanchard,80.33,Exam 2
121,Wendell Logan,68.17,Exam 2
122,Youra Stallon,85.33,Exam 2
123,Zetra Zein,74.50,Exam 2
124,Agnes Hudson,70.67,Exam 2
